datasetID,name,description,mediaURL,latitude,longitude
"ABC News","2000 year old Gladiator helmet unveiled in Melbourne","03/06/05 - [link](http://www.abc.net.au/local/photos/2009/06/04/2589654.htm)",,-37.803646,144.972942
"ABC News","A change of uniform","23/01/07 - [link](http://www.abc.net.au/local/photos/2011/01/24/3119724.htm)",,-37.802422,144.961498
"ABC News","A premiership tradition","21/09/05 - [link](http://www.abc.net.au/local/photos/2009/09/22/2693204.htm)",,-37.819021,144.984052
"ABC News","ABC Community Concert: Sunday March 1 Myer Music Bowl","03/03/05 - [link](http://www.abc.net.au/local/photos/2009/03/04/2507366.htm)",,-37.823328,144.974673
"ABC News","Alan Brough broadcasts from the Children's Book Festival at the State Library","07/04/07 - [link](http://www.abc.net.au/local/photos/2011/04/08/3185987.htm) - Spot the dog gives a hug at the Children's Book Festival - Copyright: ABC | Source: ABC Local | Byline: Peter Giafis","http://www.abc.net.au/reslib/201104/r746875_6157785.jpg",-37.80984329,144.96520042
"ABC News","Alan Brough is an Aussie!","01/12/05 - [link](http://www.abc.net.au/local/photos/2009/12/02/2759660.htm)",,-37.803638,145.005069
"ABC News","Apology to the Stolen Generations: six years on thousands gather to remember and celebrate","13/02/10 - [link](http://www.abc.net.au/local/photos/2014/02/14/3944948.htm) - The great Archie Roach entrances the audience. - Copyright: ABC | Source: ABC Local | Byline: Lily Partland","http://www.abc.net.au/reslib/201402/r1237023_16366453.jpg",-37.82348254,144.97467399
"ABC News","Brett Sheehy launches his last Melbourne Festival program","29/07/08 - [link](http://www.abc.net.au/local/photos/2012/07/30/3556721.htm) - Never Did Me Any Harm, a dance work inspired by Christos Tsiokas's The Slap, is supported by 774 ABC Melbourne - Copyright: ABC | Source: Supplied | Byline: Publicity Still","http://www.abc.net.au/reslib/201207/r980481_10723088.jpg",-37.8219719,144.9707365
"ABC News","Cadel Evans welcomed back to Melbourne: Photos","11/08/07 - [link](http://www.abc.net.au/local/photos/2011/08/12/3292291.htm) - Cadel Evans rides down St Kilda Rd in Melbourne, greeting the crowd - Copyright: ABC | Source: ABC Local | Byline: Simon Leo Brown","http://www.abc.net.au/reslib/201108/r812905_7283871.JPG",-37.83090392,144.97138023
"ABC News","CFA team up with AFL Victoria","22/06/05 - [link](http://www.abc.net.au/local/photos/2009/06/23/2606326.htm)",,-37.85569,145.164062
"ABC News","Charcoal Lane opens its doors.","20/07/05 - [link](http://www.abc.net.au/local/photos/2009/07/21/2632333.htm)",,-37.806034,144.978888
"ABC News","Commemorating the battle for Australia","01/09/05 - [link](http://www.abc.net.au/local/photos/2009/09/02/2674682.htm)",,-37.7061714,145.0986198
"ABC News","Countdown's 40th Anniversary listener event","13/11/10 - [link](http://www.abc.net.au/local/photos/2014/11/14/4128992.htm) - Red Symons and Mark Holden reminisce the Countdown days and welcome guests in the original Countdown Studio - Copyright: AAP | Source: | Byline:","http://www.abc.net.au/reslib/201411/r1355979_19027954.jpg",-37.787984,144.890538
"ABC News","Dark Matter","10/06/05 - [link](http://www.abc.net.au/local/photos/2009/06/11/2595607.htm)",,-37.817378,144.96866
"ABC News","Father Bobs' deadline","16/09/05 - [link](http://www.abc.net.au/local/photos/2009/09/17/2689011.htm)",,-37.844628,144.951305
"ABC News","Grand Final parade live broadcast","24/09/05 - [link](http://www.abc.net.au/local/photos/2009/09/25/2696573.htm)",,-37.81808392,144.96909767
