datasetID,name,description,mediaURL,latitude,longitude
"Community Buildings","State Library Victoria","Public Buildings",,"-37.8099852201226","144.964330322397"
"Community Buildings","Supreme Court","Public Buildings",,"-37.8141494182814","144.957894024264"
"Community Buildings","Melbourne Town Hall","Public Buildings",,"-37.8150754791411","144.966542722283"
"Community Buildings","Sidney Myer Music Bowl","Public Buildings",,"-37.8233471608733","144.974686151365"
"Community Buildings","Melbourne Theatre Company","Public Buildings",,"-37.823930384816","144.968297429894"
"Community Buildings","Elisabeth Murdoch Hall","Public Buildings",,"-37.8239733704282","144.967450979234"
"Community Buildings","Melbourne Recital Centre","Public Buildings",,"-37.8238327885805","144.967682729667"
"Community Buildings","NGV International","Public Buildings",,"-37.8230135000869","144.969342535451"
"Community Buildings","Shrine of Remembrance","Public Buildings",,"-37.8302080020387","144.973441913623"
"Community Buildings","Commonwealth Law Courts","Public Buildings",,"-37.8123961677596","144.955823833257"
"Community Buildings","Conservatory","Public Buildings",,"-37.814002127195","144.9785597431"
"Community Buildings","Melbourne Childrens Court","Public Buildings",,"-37.8125077646598","144.958298873269"
"Community Buildings","County Court Melbourne","Public Buildings",,"-37.8132011619962","144.957734246387"
"Community Buildings","Melbourne Visitor Booth","Visitor Centre",,"-37.8139525061193","144.964425882562"
"Community Buildings","Melbourne Visitor Centre","Visitor Centre",,"-37.8177352402006","144.967937138226"
