datasetID,name,description,mediaURL,latitude,longitude
"Education Centres","Kangan Batman Tafe","Further Education",,"-37.8221818203024","144.948908460665"
"Education Centres","Carlton Gardens Primary School","Primary Schools",,"-37.8020953835112","144.969406272035"
"Education Centres","Carlton Primary School","Primary Schools",,"-37.7959079757171","144.970147317976"
"Education Centres","Kensington Primary School","Primary Schools",,"-37.7925235045455","144.927108735461"
"Education Centres","North Melbourne Primary School","Primary Schools",,"-37.7986737155551","144.951065772876"
"Education Centres","Wesley College","School - Primary and Secondary Education",,"-37.8485201804496","144.982227770988"
"Education Centres","Melbourne Girls Grammar School","School - Primary and Secondary Education",,"-37.8315364518803","144.985089428348"
"Education Centres","Melbourne Grammar School","Secondary Schools",,"-37.8342561018747","144.976285045233"
"Education Centres","University High School","Secondary Schools",,"-37.7973136216903","144.956034449946"
"Education Centres","University of Melbourne (VCA and Music)","Tertiary (University)",,"-37.8241137662047","144.96933253996"
"Education Centres","BIO 21 Institute","Tertiary (University)",,"-37.7978743305343","144.953780325865"
"Education Centres","University of Melbourne","Tertiary (University)",,"-37.7982892284927","144.96099520158"
"Education Centres","RMIT University","Tertiary (University)",,"-37.8080795360545","144.964452974798"
