datasetID,name,description,mediaURL,latitude,longitude
"Galleries and Museums","Old Melbourne Gaol Crime & Justice Experience","Art Gallery/Museum",,"-37.8077644149636","144.965463853978"
"Galleries and Museums","Polly Woodside","Art Gallery/Museum",,"-37.8242574266145","144.953478052064"
"Galleries and Museums","Australian Centre for Contemporary Art","Art Gallery/Museum",,"-37.8266045432686","144.967252924593"
"Galleries and Museums","Victorian Arts Centre","Art Gallery/Museum",,"-37.8219947335768","144.968837288153"
"Galleries and Museums","The Ian Potter Centre: NGV Australia","Art Gallery/Museum",,"-37.8174831423197","144.969899048343"
"Galleries and Museums","Thoroughbred Racing Gallery","Art Gallery/Museum",,"-37.8188662730911","144.9839700954"
"Galleries and Museums","Fox Classic Car Collection","Art Gallery/Museum",,"-37.8213744301481","144.948496661709"
"Galleries and Museums","Melbourne Museum","Art Gallery/Museum",,"-37.8035518129299","144.971690718887"
"Galleries and Museums","National Sports Museum","Art Gallery/Museum",,"-37.8189544909462","144.984669809381"
"Galleries and Museums","Sinclair's Cottage","Art Gallery/Museum",,"-37.8145407488014","144.980554992725"
"Galleries and Museums","Victoria Police Museum","Art Gallery/Museum",,"-37.8222182774409","144.954039975197"
"Galleries and Museums","Immigration Museum","Art Gallery/Museum",,"-37.8191798798062","144.960426777129"
"Galleries and Museums","Fire Services Museum Victoria","Art Gallery/Museum",,"-37.8085761281612","144.975373745366"
"Galleries and Museums","The Ian Potter Museum Of Art","Art Gallery/Museum",,"-37.7973939595503","144.964156669702"
"Galleries and Museums","Koorie Heritage Trust Inc","Art Gallery/Museum",,"-37.8133854259085","144.954027907736"
"Galleries and Museums","Cooks' Cottage","Art Gallery/Museum",,"-37.8144604899837","144.979471339826"
"Galleries and Museums","Royal Exhibition Building","Art Gallery/Museum",,"-37.80460262432","144.971521914952"
"Galleries and Museums","Australian Centre For The Moving Image (ACMI)","Art Gallery/Museum",,"-37.8176107327202","144.969070431323"
"Galleries and Museums","The Museum Of Australian Chinese History","Art Gallery/Museum",,"-37.8107686127655","144.96923385414"
"Galleries and Museums","Melbourne Exhibition Centre","Function/Conference/Exhibition Centre",,"-37.8252455123297","144.95435243249"
"Galleries and Museums","Melbourne Convention Centre","Function/Conference/Exhibition Centre",,"-37.8249040484653","144.952288281644"
"Galleries and Museums","Central Pier","Function/Conference/Exhibition Centre",,"-37.8165177307702","144.943475014215"
"Galleries and Museums","Dallas Brooks Centre","Function/Conference/Exhibition Centre",,"-37.8097374138234","144.981383411592"
