datasetID,name,description,mediaURL,latitude,longitude
"No Smoking Areas","East Melbourne Child Care Cooperative","Child Care Centre - 153-157 Simpson Street, EAST MELBOURNE VIC 3002",,"-37.8113811","144.9886244"
"No Smoking Areas","Hotham Hub Children's Centre","Child Care Centre - 113 Melrose Street, NORTH MELBOURNE VIC 3051",,"-37.7928603","144.9420455"
"No Smoking Areas","Fawkner Park Children's Centre","Child Care Centre - Fawkner Park Childrens Centre, 65W Toorak Road, SOUTH YARRA VIC 3141",,"-37.837955","144.979971"
"No Smoking Areas","Lady Huntingfield's Children's Centre","Child Care Centre - 89-97 Haines Street, NORTH MELBOURNE VIC 3051",,"-37.7983358","144.94493"
"No Smoking Areas","North Melbourne Children's Centre","Child Care Centre - 28-34 Howard Street, NORTH MELBOURNE VIC 3051",,"-37.8045649","144.9552103"
"No Smoking Areas","Melbourne City Children's Centre","Child Care Centre - 100-104 A'Beckett Street, MELBOURNE VIC 3000",,"-37.8093893","144.9603538"
"No Smoking Areas","Central Carlton Children's Centre","Child Care Centre - 477-491 Drummond Street, CARLTON VIC 3053",,"-37.7938936","144.9693438"
"No Smoking Areas","The Harbour Family and Children's Centre","Child Care Centre - 829-843 Bourke Street, DOCKLANDS VIC 3008",,"-37.82024299","144.9425626"
"No Smoking Areas","The Causeway","Laneway - The Causeway between Bourke Street and Little Collins Street",,"-37.81454749","144.9642509"
"No Smoking Areas","Howie Place","Laneway - Howey Place from Little Collins Street",,"-37.81517893","144.9653399"
"No Smoking Areas","Equiable Place","Laneway - Equitable Place between Little Collins Street and Collins Street",,"-37.81587818","144.9632585"
"No Smoking Areas","Block Place","Laneway - Block Place from Little Collins Street",,"-37.8154153","144.964384"
"No Smoking Areas","Canning And Palmerston Streets Reserve Playground","Playground - 60-64 Palmerston Street, CARLTON VIC 3053",,"-37.7966081","144.972971"
"No Smoking Areas","Fawkner Park East","Playground - Fawkner Park, 24-88 Commercial Road, SOUTH YARRA VIC 3141",,"-37.841538","144.982141"
"No Smoking Areas","Fawkner Park North East","Playground - Fawkner Park, 24-88 Commercial Road, SOUTH YARRA VIC 3141",,"-37.841538","144.982141"
"No Smoking Areas","Grant Street Playground","Playground - 61-69 Dodds Street, SOUTHBANK VIC 3006",,"-37.82587238","144.9685854"
"No Smoking Areas","Docklands Park Playground South","Playground - Docklands Park, 1-91 Harbour Esplanade, DOCKLANDS VIC 3008",,"-37.819915","144.946612"
"No Smoking Areas","Mercantile Park Tankard Street Playground","Playground - Reserve 60-80 Mercantile Parade, KENSINGTON VIC 3031",,"-37.796679","144.920752"
"No Smoking Areas","Artplay Playground","Playground - Artplay, Birrarung Marr, Batman Avenue, MELBOURNE VIC 3000",,"-37.818304","144.971573"
"No Smoking Areas","Fitzroy Gardens Playground","Playground - Fitzroy Gardens, 230-298 Wellington Parade, EAST MELBOURNE VIC 3002",,"-37.812988","144.98021"
"No Smoking Areas","Powlett Reserve Playground","Playground - Powlett Reserve, 72-74 Grey Street, EAST MELBOURNE VIC 3002",,"-37.811385","144.987517"
"No Smoking Areas","Flagstaff Gardens Playground","Playground - Flagstaff Gardens, 309-311 William Street, WEST MELBOURNE VIC 3003",,"-37.8107672","144.9546862"
"No Smoking Areas","Hawke & Adderley Street Playground","Playground - 92-102 Hawke Street, WEST MELBOURNE VIC 3003",,"-37.80866719","144.9450007"
"No Smoking Areas","Bayswater Road Park Playground","Playground - Bayswater Road Park, 41-55 Bayswater Road, KENSINGTON VIC 3031",,"-37.79371958","144.9237549"
"No Smoking Areas","Eades Park Playground","Playground - Eades Park, 372-376 King Street, WEST MELBOURNE VIC 3003",,"-37.807338","144.951458"
"No Smoking Areas","Lincoln Square Playground","Playground - Lincoln Square, 138-142 Bouverie Street, CARLTON VIC 3053",,"-37.80242","144.962881"
"No Smoking Areas","North Melbourne Community Centre Playground","Playground - 49-53 Buncle Street, NORTH MELBOURNE VIC 3051",,"-37.79304132","144.9402237"
"No Smoking Areas","Carlton Gardens Playground","Playground - Carlton Gardens North, 1-111 Carlton Street, CARLTON VIC 3053",,"-37.80212096","144.9719811"
"No Smoking Areas","Warun Biik Playground","Playground - Warun Biik Park, Between 63-65 Kensington Road, KENSINGTON VIC 3031",,"-37.79643254","144.9258471"
"No Smoking Areas","Kensington Hall Reserve Playground","Playground - Kensington Hall Reserve 2-20 Bellair Street KENSINGTON VIC 3031",,"-37.7886537","144.9286124"
"No Smoking Areas","Gardiner Reserve Playground","Playground - Gardiner Reserve, 287-315 Dryburgh Street, NORTH MELBOURNE VIC 3051",,"-37.799193","144.943751"
"No Smoking Areas","JJ Holland Park","Playground - Altona Street KENSINGTON VIC 3031",,"-37.79796702","144.9263728"
"No Smoking Areas","Ievers Reserve Playground","Playground - Ievers Reserve, 42 Flemington Road, PARKVILLE VIC 3052",,"-37.796371","144.952752"
"No Smoking Areas","Mercantile Park Newman Street Playground","Playground - Council Reserve, 15-49 Mercantile Parade, KENSINGTON VIC 3031",,"-37.79569073","144.9209467"
"No Smoking Areas","Bellair Street Playground","Playground - Bellair Street Reserve, Bellair Street, KENSINGTON VIC 3031",,"-37.79520324","144.9306804"
