datasetID,name,description,mediaURL,latitude,longitude
"Parks and Gardens","Carlton Gardens South","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8060684577258","144.971266479841"
"Parks and Gardens","University Square","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.800410711209","144.960398319302"
"Parks and Gardens","Powlett Reserve","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8116929882498","144.987275671763"
"Parks and Gardens","Carlton Gardens North","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8017690847403","144.971997551189"
"Parks and Gardens","Kings Domain","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8255239795833","144.974107925144"
"Parks and Gardens","Treasury Gardens","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8143993575938","144.975952335785"
"Parks and Gardens","Batman Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8218460949601","144.956665812218"
"Parks and Gardens","Richmond Football Club","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8216740022008","144.988156318781"
"Parks and Gardens","Queen Victoria Gardens","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8216381244891","144.971049530478"
"Parks and Gardens","Federation Square","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8178516571684","144.968963600783"
"Parks and Gardens","New Quay","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8152178789077","144.941617889032"
"Parks and Gardens","Docklands Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8209956785618","144.946781702342"
"Parks and Gardens","Point Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8233522700646","144.942102276731"
"Parks and Gardens","Newmarket Reserve","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.7878473341234","144.922972125346"
"Parks and Gardens","Birrarung Marr","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.81806108403","144.97314667014"
"Parks and Gardens","Riverslide Skate Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8207887122448","144.972951789291"
"Parks and Gardens","Alexandra Gardens","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8206051404251","144.971796067365"
"Parks and Gardens","North Melbourne Recreation Reserve","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.7988345257153","144.941452061463"
"Parks and Gardens","J.J Holland Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.7982358832177","144.923837074813"
"Parks and Gardens","Royal Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.7906174256581","144.953834240647"
"Parks and Gardens","Princes Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.7870161727156","144.961115214367"
"Parks and Gardens","Shrine of Rembrance Reserve","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8320733992876","144.973628364465"
"Parks and Gardens","Royal Botanic Gardens","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8306631583233","144.980850432751"
"Parks and Gardens","Yarra Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.820469374101","144.986671109615"
"Parks and Gardens","Darling Square","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.81299206932","144.989062559512"
"Parks and Gardens","Flagstaff Gardens","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8111222889277","144.954696055235"
"Parks and Gardens","Fawkner Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8413996708186","144.981625667877"
"Parks and Gardens","Fitzroy Gardens","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8129616331579","144.980455714669"
"Parks and Gardens","Enterprize Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.820210269629","144.959276859602"
"Parks and Gardens","Argyle Square","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8031480577285","144.965761295089"
"Parks and Gardens","Piazza Italia","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8025164192523","144.965863092947"
"Parks and Gardens","Macarthur Square","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.7983318676737","144.971514146104"
"Parks and Gardens","Murchinson Square","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8002735025371","144.973059252203"
"Parks and Gardens","Parliament Reserve","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.809852620638","144.973462202839"
"Parks and Gardens","Westgate Park","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8314918578874","144.908824792698"
"Parks and Gardens","Sandridge Rail Bridge","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8201763042794","144.96298113724"
"Parks and Gardens","Lincoln Square","Informal Outdoor Facility Park/Garden/Reserve)",,"-37.8027919689732","144.962760852233"
