datasetID,name,description,mediaURL,latitude,longitude
"Places of Worship","St Francis Church","Church",,"-37.8118847831837","144.962422614541"
"Places of Worship","Wesley Church","Church",,"-37.8101576446961","144.968168215633"
"Places of Worship","St Augustines Church","Church",,"-37.8169741358546","144.954862000132"
"Places of Worship","St James Church","Church",,"-37.8101281201969","144.952468571683"
"Places of Worship","St Mary's Anglican Church","Church",,"-37.8031663672997","144.953761537074"
"Places of Worship","Romanian Orthodox","Church",,"-37.8052307297468","144.966986444597"
"Places of Worship","Welsh Presbyterian Church","Church",,"-37.8104478768313","144.959873260087"
"Places of Worship","Church of Christ","Church",,"-37.8104524079085","144.96388920294"
"Places of Worship","Scots Church","Church",,"-37.8145687802664","144.96855105335"
"Places of Worship","St Michael's Uniting Church","Church",,"-37.8143851324913","144.969174036096"
"Places of Worship","Greek Orthodox Church","Church",,"-37.8088064667555","144.978259089269"
"Places of Worship","St Peter's Eastern Hill","Church",,"-37.8097086714637","144.975259178609"
"Places of Worship","Lutheran Trinity Church","Church",,"-37.8109757054396","144.975729473552"
"Places of Worship","Holy Trinity","Church",,"-37.8140667110854","144.983197322289"
"Places of Worship","St Johns Lutheran Church","Church",,"-37.8209399677168","144.967121099857"
"Places of Worship","North Melbourne Uniting","Church",,"-37.8035538471344","144.947671538375"
"Places of Worship","Melbourne Unitarian Church","Church",,"-37.8114487773394","144.984664890999"
"Places of Worship","All Nations Uniting Church","Church",,"-37.7959155303946","144.968981110942"
"Places of Worship","Our Lady of Lebanon Church","Church",,"-37.8025766539683","144.969334720932"
"Places of Worship","St Michaels","Church",,"-37.7940512679297","144.945399480629"
"Places of Worship","Ukranian Catholic Cathedral","Church",,"-37.7963084580345","144.944313454028"
"Places of Worship","St Alban Anglican Church","Church",,"-37.7942169477929","144.94161451392"
"Places of Worship","Christ Church Kensington","Church",,"-37.7932109480553","144.92729572288"
"Places of Worship","Holy Rosary","Church",,"-37.7948087414394","144.928362125005"
"Places of Worship","Collins Street Baptist Church","Church",,"-37.8147011904647","144.968072486031"
"Places of Worship","St Thomas Aquinas Church","Church",,"-37.8353076902578","144.976809080472"
"Places of Worship","South Yarra Presbyterian Church","Church",,"-37.8407473645397","144.98562699348"
"Places of Worship","The Parish of Christ Church South Yarra","Church",,"-37.8386270533576","144.986009385387"
"Places of Worship","St Patricks Cathedral","Church",,"-37.8101140950474","144.975901529712"
"Places of Worship","St Pauls Cathedral","Church",,"-37.8169549012399","144.967681647402"
"Places of Worship","East Melbourne Synagogue","Synagogue",,"-37.809113728917","144.97422190954"
