datasetID,name,description,mediaURL,latitude,longitude
"Public Memorials & Sculptures","Coles Fountain","Memorial Fountain - Arts & History",,-37.8097706399894,144.973483970263
"Public Memorials & Sculptures","South African War Memorial (Memorial to Fallen Soldiers)","Memorial Sculpture - Arts & History",,-37.8259414540802,144.97185679034
"Public Memorials & Sculptures","World War 1 Memorial","Memorial Sculpture - Arts & History",,-37.7915502247943,144.958086476511
"Public Memorials & Sculptures","Sir Edward 'Weary' Dunlop","Memorial Sculpture - Arts & History",,-37.8253098033481,144.971594258329
"Public Memorials & Sculptures","Zoo Paving","Paving - Arts & History",,-37.782561322013,144.953293930765
"Public Memorials & Sculptures","Black Swan Memorial Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.8195705744424,144.971824436445
"Public Memorials & Sculptures","Burke & Wills Cairn","Cairn - Arts & History",,-37.7889281178088,144.956058106876
"Public Memorials & Sculptures","William Ievers (Jnr) Memorial Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.7982578256186,144.97056462845
"Public Memorials & Sculptures","Macpherson-Robertson Fountain","Memorial Fountain - Arts & History",,-37.8323774586129,144.972934260924
"Public Memorials & Sculptures","Councillor William Cook Memorial Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.7852874728369,144.966190018508
"Public Memorials & Sculptures","The Travellers","Sculpture - Arts & History",,-37.8200793788538,144.962960549385
"Public Memorials & Sculptures","Beyond the Ocean of Existence","Sculpture - Arts & History",,-37.8164236255068,144.967061521425
"Public Memorials & Sculptures","Pioneer Women's Memorial","Memorial Garden/Sculpture - Arts & History",,-37.825114779701,144.976076236026
"Public Memorials & Sculptures","Sir Samuel Gillott","Bust - Arts & History",,-37.8137257364725,144.972615422561
"Public Memorials & Sculptures","Ceremony and Vehicle for Conveying Spirit","Sculpture - Arts & History",,-37.8136957631715,144.968512999898
"Public Memorials & Sculptures","Temple of the Winds","Rotunda - Arts & History",,-37.8128096545722,144.981735855762
"Public Memorials & Sculptures","Sir Thomas Blamey Memorial","Memorial Sculpture - Arts & History",,-37.8263011012613,144.972818905824
"Public Memorials & Sculptures","Boy on a Turtle","Statue - Arts & History",,-37.8143892942827,144.979910185425
"Public Memorials & Sculptures","Personal Islands","Pavement Inlay - Arts & History",,-37.8129540652895,144.96526492562
"Public Memorials & Sculptures","Sir William John Clarke","Monument - Arts & History",,-37.8136729531192,144.974344858809
"Public Memorials & Sculptures","A History Apparatus - Vessel Craft & Beacon","Sculpture - Arts & History",,-37.8130493644912,144.968210954796
"Public Memorials & Sculptures","Stanford Fountain","Fountain - Arts & History",,-37.8124342540301,144.973955471734
"Public Memorials & Sculptures","Children's Lake Waterfall","Memorial Waterfall - Arts & History",,-37.8224051515098,144.970643483514
"Public Memorials & Sculptures","Diana and the Hounds","Sculpture - Arts & History",,-37.8143067766605,144.978499425414
"Public Memorials & Sculptures","Victorian Rowing Association World War 1 Memorial","Memorial Cenotaph - Arts & History",,-37.8217592722394,144.974772591697
"Public Memorials & Sculptures","Wind Contrivance","Sculpture - Arts & History",,-37.8072518916019,144.959230565812
"Public Memorials & Sculptures","Widow and Children","Statue - Arts & History",,-37.8302819071543,144.974339825095
"Public Memorials & Sculptures","Henderson Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.8033418230886,144.949739174347
"Public Memorials & Sculptures","Grant's Fountain","Memorial Fountain - Arts & History",,-37.8074703758618,144.968593327348
"Public Memorials & Sculptures","Fairies Tree","Sculpture - Arts & History",,-37.8134099717816,144.981102238575
"Public Memorials & Sculptures","Painted Poles","Sculpture - Arts & History",,-37.8157562938546,144.966810376908
"Public Memorials & Sculptures","River God Fountain","Fountain - Arts & History",,-37.8104167228785,144.980882423169
"Public Memorials & Sculptures","Port Philip Monument","Monument - Arts & History",,-37.8056957677722,144.907290986476
"Public Memorials & Sculptures","John Pascoe Fawkner Memorial","Sculpture - Arts & History",,-37.8176770551424,144.959995293311
"Public Memorials & Sculptures","Mermaid and Fish","Sculpture - Arts & History",,-37.8138419994948,144.98275871684
"Public Memorials & Sculptures","Cow Up A Tree","Docklands Sculpture - Arts & History",,-37.8171223481362,144.945279735113
"Public Memorials & Sculptures","Dr Louis Smith","Bust - Arts & History",,-37.8047443091441,144.972452071138
"Public Memorials & Sculptures","Spray Lake","Fountain - Arts & History",,-37.8058096513433,144.972528791144
"Public Memorials & Sculptures","Grey Street Fountain","Memorial Fountain - Arts & History",,-37.8115435006444,144.982950886232
"Public Memorials & Sculptures","Sir John Monash","Memorial Sculpture - Arts & History",,-37.8267733389745,144.972752128938
"Public Memorials & Sculptures","Bird Panels","Sculpture - Arts & History",,-37.7953526683028,144.940687345967
"Public Memorials & Sculptures","Tianjin Garden Chinese Lion Guardians","Sculpture - Arts & History",,-37.8112537328974,144.969347694358
"Public Memorials & Sculptures","Time and Tide","Sculpture - Arts & History",,-37.8143983824308,144.966250918798
"Public Memorials & Sculptures","Passage","Sculpture - Arts & History",,-37.8074524296746,144.958306716284
"Public Memorials & Sculptures","Elliot Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.7820500448944,144.956966688817
"Public Memorials & Sculptures","Farnex Hercules","Sculpture - Arts & History",,-37.8211092934829,144.969673116962
"Public Memorials & Sculptures","The Dolphin Fountain","Sculpture - Arts & History",,-37.8118884444692,144.980015837679
"Public Memorials & Sculptures","R.J. & F.G.J. Hardy Memorial Drinking Fountain (Also Know as Hardy Drinking Fountain)","Memorial Drinking Fountain - Arts & History",,-37.7855912778371,144.969314216893
