datasetID,name,description,mediaURL,latitude,longitude
"Sports","State Netball Hockey Centre","Major Sports & Recreation Facility",,"-37.7857860016289","144.947580972027"
"Sports","Carlton Football Club","Major Sports & Recreation Facility",,"-37.7840864379557","144.961967841559"
"Sports","Visy Park","Major Sports & Recreation Facility",,"-37.7834303940347","144.961982577553"
"Sports","Flemington Racecourse","Major Sports & Recreation Facility",,"-37.7908082646624","144.912142987372"
"Sports","Melbourne Cricket Ground (MCG)","Major Sports & Recreation Facility",,"-37.8194921618419","144.983402879078"
"Sports","AAMI Park","Major Sports & Recreation Facility",,"-37.8247252673963","144.98380297866"
"Sports","Rod Laver Arena","Major Sports & Recreation Facility",,"-37.8220456119807","144.978487173787"
"Sports","Melbourne Park","Major Sports & Recreation Facility",,"-37.8209085970021","144.978735802793"
"Sports","Margaret Court Arena","Major Sports & Recreation Facility",,"-37.8213252086842","144.977591098955"
"Sports","Hisense Arena","Major Sports & Recreation Facility",,"-37.823110002667","144.981834802535"
"Sports","North Melbourne Recreation Centre (Aquatic)","Major Sports & Recreation Facility",,"-37.7999470049655","144.943290801869"
"Sports","City Baths","Major Sports & Recreation Facility",,"-37.8071585350561","144.963189789721"
"Sports","Westpac Centre","Major Sports & Recreation Facility",,"-37.8242456858593","144.979720306309"
"Sports","Etihad Stadium","Major Sports & Recreation Facility",,"-37.8161760471742","144.947496254547"
"Sports","Royal Park Golf Course","Private Sports Club/Facility",,"-37.7819171308558","144.956309119368"
"Sports","Melbourne International Shooting Club","Private Sports Club/Facility",,"-37.8292844929826","144.913415802464"
