datasetID,name,description,mediaURL,latitude,longitude
"Theatres and Cinemas","FairFax Studio","Theatre Live",,"-37.8216684581887","144.968836241692"
"Theatres and Cinemas","Playhouse","Theatre Live",,"-37.8218124583016","144.968337832721"
"Theatres and Cinemas","State Theatre","Theatre Live",,"-37.8212806349773","144.968469643744"
"Theatres and Cinemas","St Martins Youth Arts Centre","Theatre Live",,"-37.8352429531289","144.98114217385"
"Theatres and Cinemas","Princess Theatre","Theatre Live",,"-37.8107257091302","144.9723265962"
"Theatres and Cinemas","Regent Theatre","Theatre Live",,"-37.8160014744179","144.967916735261"
"Theatres and Cinemas","Malthouse Theatre","Theatre Live",,"-37.8271768001126","144.966936821789"
"Theatres and Cinemas","MTC Theatre","Theatre Live",,"-37.8242661832902","144.968174400274"
"Theatres and Cinemas","Hamer Hall","Theatre Live",,"-37.8199901009015","144.967992144257"
"Theatres and Cinemas","Athanaeum Theatre","Theatre Live",,"-37.814954347831","144.96732254212"
"Theatres and Cinemas","Carlton Courthouse Theatre","Theatre Live",,"-37.7976589943217","144.968750113566"
"Theatres and Cinemas","Her Majesty's Theatre","Theatre Live",,"-37.8109975612842","144.969520183129"
"Theatres and Cinemas","Comedy Theatre","Theatre Live",,"-37.8102053945163","144.97013311862"
"Theatres and Cinemas","La Mama Theatre","Theatre Live",,"-37.7991304956733","144.967669503083"
"Theatres and Cinemas","Forum Theatre","Theatre Live",,"-37.816485409696","144.969386556998"
"Theatres and Cinemas","IMAX Melbourne","Cinema",,"-37.8034315561903","144.970639929886"
