datasetID,name,description,mediaURL,latitude,longitude
"Transport","Webb Bridge","Bridge",,"-37.8232052384507","144.947291011905"
"Transport","New Quay Marina","Marina",,"-37.8152925454954","144.942283726231"
"Transport","Flemington Bridge Railway Station","Railway Station",,"-37.7881645889621","144.939277838304"
"Transport","Southern Cross Railway Station","Railway Station",,"-37.8181633057171","144.952944748845"
"Transport","Flagstaff Railway Station","Railway Station",,"-37.8122356514626","144.956318211113"
"Transport","Parliament Railway Station","Railway Station",,"-37.8116061787171","144.973017263156"
"Transport","Richmond Railway Station (Richmond) - Train stop","Railway Station",,"-37.8238992659834","144.989400751664"
"Transport","Jolimont-MCG Railway Station (East Melbourne) - Train stop","Railway Station",,"-37.8165651811668","144.983641003377"
"Transport","Macaulay Railway Station (North Melbourne) - Train stop","Railway Station",,"-37.794964001386","144.936190756632"
"Transport","Kensington Railway Station","Railway Station",,"-37.7939140126373","144.930710207518"
"Transport","South Kensington Railway Station","Railway Station",,"-37.7997270537735","144.925837749713"
"Transport","Royal Park Railway Station","Railway Station",,"-37.7812684282825","144.951667833921"
"Transport","Parliament Railway Station","Railway Station",,"-37.8121572789173","144.973742010011"
"Transport","Parliament Railway Station","Railway Station",,"-37.8127621113552","144.973433796529"
"Transport","Parliament Railway Station","Railway Station",,"-37.8095762219384","144.972330132127"
"Transport","Flagstaff Railway Station","Railway Station",,"-37.8116384403974","144.9561186805"
"Transport","Melbourne Central Railway Station","Railway Station",,"-37.8097759325888","144.962670059539"
"Transport","Melbourne Central Railway Station","Railway Station",,"-37.8105992402369","144.96169061383"
"Transport","Melbourne Central Railway Station","Railway Station",,"-37.8108930047401","144.963100728702"
"Transport","Flemington Racecourse Railway Station","Railway Station",,"-37.7869105822519","144.908190706069"
"Transport","Showgrounds Railway Station (Flemington)","Railway Station",,"-37.7834651216244","144.914902626775"
"Transport","Newmarket Railway Station","Railway Station",,"-37.7872726241965","144.929059958114"
"Transport","Flinders Street Railway Station","Railway Station",,"-37.8179063007545","144.967064817875"
"Transport","Melbourne Central Railway Station","Railway Station",,"-37.8100167030855","144.963789344893"
"Transport","North Melbourne Railway Station","Railway Station",,"-37.8073823625058","144.942429848025"
"Transport","Port of Melbourne","Transport Terminal",,"-37.8137384362671","144.91753432375"
